Tên SP,Nhà sản xuất,Model,Kết nối,Kích thước,Loại switch,Giá(đ)
Bàn phím cơ DarkFlash GD68 Milky & Brown - Yellow Axis switch ,Darkflash,GD68,không dây,357.3097826086956,yellow,599000
Bàn phím cơ Dareu EK1280 v2 Black ,DAREU,KB1,có dây,357.3097826086956,blue,799000
Bàn phím cơ Dareu EK1280S v2 Black ,DAREU,ROG Falchion,vừa có dây vừa không dây,357.3097826086956,green,649000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,không dây,357.3097826086956,white,499000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,không dây,357.3097826086956,red,499000
Bàn phím cơ Dareu EK87 v2 Black ,DAREU,EK87,vừa có dây vừa không dây,357.3097826086956,silver,499000
Bàn phím cơ không dây EDRA EK368L White Black Red switch ,Edra,EK368L,vừa có dây vừa không dây,357.3097826086956,green,499000
Bàn phím cơ không dây EDRA EK368L White Black Brown switch ,Edra,EK368L,vừa có dây vừa không dây,357.3097826086956,black,499000
Bàn phím cơ không dây EDRA EK368L White Black Blue switch ,Edra,EK368L,không dây,357.3097826086956,blue,499000
Bàn phím cơ không dây Fuhlen T87S Pro White Blue Switch,Fuhlen,T87s Pro Wireless,vừa có dây vừa không dây,358.0,red,1399000
Bàn phím Asus ROG Strix Scope NX Red sw,Asus,GM328,có dây,440.0,red,2699000
Bàn phím cơ LEOPOLD FC750RBT Blue Font Silent Red Switch ,Leopold,Kailh Clione Limacina ,vừa có dây vừa không dây,357.3097826086956,black,3599000
Bàn phím cơ LEOPOLD FC750RBT Blue Coral Silent Red Switch ,Leopold,G512 GX,không dây,357.3097826086956,green,3599000
Bàn phím cơ LEOPOLD FC750RBT Blue Coral Red Switch ,Leopold,D87S RGB,vừa có dây vừa không dây,357.3097826086956,pink,3599000
Bàn phím cơ LEOPOLD FC750RBT White Mint Silent Red Switch ,Leopold,TC-3218,vừa có dây vừa không dây,357.3097826086956,silver,3599000
